,date,SCFI,SCFI_boxcox
355,2020년 12월 25일,2641.87,1.8853024536288745
356,2020년 12월 31일,2783.03,1.9319878692095276
357,2021년 01월 08일,2870.34,1.9585487992182529
358,2021년 01월 15일,2885.0,1.9628497912011482
359,2021년 01월 22일,2868.95,1.958138698708052
360,2021년 01월 29일,2861.69,1.9559902121560206
361,2021년 02월 05일,2884.61,1.9627359421354698
362,2021년 02월 10일,2825.75,1.9451904941843743
363,2021년 02월 19일,2875.93,1.960194019814165
364,2021년 02월 26일,2775.29,1.9295520032920375
365,2021년 03월 05일,2721.94,1.9123824915818919
366,2021년 03월 12일,2637.53,1.8837873190023424
367,2021년 03월 19일,2583.87,1.864630448686206
368,2021년 03월 26일,2570.68,1.8597981877214615
369,2021년 04월 02일,2585.42,1.8651950421061416
370,2021년 04월 09일,2652.12,1.8888609936596377
371,2021년 04월 16일,2833.42,1.9475184423592142
372,2021년 04월 23일,2979.76,1.989622443146217
373,2021년 04월 30일,3100.74,2.0214078148996615
374,2021년 05월 07일,3095.16,2.019996830735011
375,2021년 05월 14일,3343.34,2.0781667316199073
376,2021년 05월 21일,3432.5,2.0969960729825416
377,2021년 05월 28일,3495.76,2.109768925295842
378,2021년 06월 04일,3613.07,2.1322626449878017
379,2021년 06월 11일,3703.93,2.148698371710095
380,2021년 06월 18일,3748.36,2.1564431202884884
381,2021년 06월 25일,3785.4,2.16275969880733
382,2021년 07월 02일,3905.14,2.182353623551256
383,2021년 07월 09일,3932.35,2.186638569013615
384,2021년 07월 16일,4054.42,2.2051487771862255
385,2021년 07월 23일,4100.0,2.2117756380135454
386,2021년 07월 30일,4196.24,2.225291543286508
387,2021년 08월 06일,4225.86,2.229326547124467
388,2021년 08월 13일,4281.53,2.2367580307942574
389,2021년 08월 20일,4340.18,2.244379560146136
